2025-09-16 19:57:57.980751 | blues | sequential | 3 colors | inst/extdata/palettes/sequential/blues.json 
2025-09-16 19:57:57.986318 | vividset | qualitative | 3 colors | inst/extdata/palettes/qualitative/vividset.json 
2025-09-16 20:36:11.149224 | blues | sequential | 3 colors | inst/extdata/palettes/sequential/blues.json 
2025-09-16 20:36:11.152647 | vividset | qualitative | 3 colors | inst/extdata/palettes/qualitative/vividset.json 
2025-09-16 20:39:59.23944 | blues | sequential | 3 colors | inst/extdata/palettes/sequential/blues.json 
2025-09-16 20:39:59.244003 | vividset | qualitative | 3 colors | inst/extdata/palettes/qualitative/vividset.json 
2025-09-16 20:43:23.90384 | blues | sequential | 3 colors | inst/extdata/palettes/sequential/blues.json 
2025-09-16 20:43:23.923927 | vividset | qualitative | 3 colors | inst/extdata/palettes/qualitative/vividset.json 
2025-09-16 20:49:01.571254 | blues | sequential | 3 colors | inst/extdata/palettes/sequential/blues.json 
2025-09-16 20:49:01.5751 | vividset | qualitative | 3 colors | inst/extdata/palettes/qualitative/vividset.json 
2025-09-16 20:54:49.004559 | blues | sequential | 3 colors | inst/extdata/palettes/sequential/blues.json 
2025-09-16 20:54:49.008105 | vividset | qualitative | 3 colors | inst/extdata/palettes/qualitative/vividset.json 
2025-09-16 20:59:37.672523 | blues | sequential | 3 colors | inst/extdata/palettes/sequential/blues.json 
2025-09-16 20:59:37.676148 | vividset | qualitative | 3 colors | inst/extdata/palettes/qualitative/vividset.json 
